City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,288.05,85,100,7.15,SH,1702008123
1,thompson,55.7435,-97.8558,266.24,93,75,1.03,CA,1702007857
2,puerto ayora,-0.7393,-90.3518,297.34,96,45,2.24,EC,1702008129
3,utrik,11.2278,169.8474,300.78,76,76,9.98,MH,1702008130
4,kencong,-8.2833,113.3667,303.57,65,83,3.33,ID,1702008130
5,chadron,42.8294,-102.9999,279.01,81,100,9.26,US,1702008141
6,smithers,54.7804,-127.1743,268.33,93,100,1.03,CA,1702007852
7,port-aux-francais,-49.35,70.2167,277.45,87,98,15.48,TF,1702008142
8,dawei,14.0833,98.2,304.41,55,7,1.15,MM,1702008143
9,wailua homesteads,22.0669,-159.378,296.34,85,85,0.89,US,1702008143
10,isafjordur,66.0755,-23.124,270.41,79,55,3.42,IS,1702008144
11,st. john's,47.5649,-52.7093,270.36,81,75,16.46,CA,1702007897
12,bilibino,68.0546,166.4372,236.39,99,62,1.05,RU,1702008145
13,zhangzhou,24.5133,117.6556,293.11,34,6,0.17,CN,1702008146
14,hamilton,39.1834,-84.5333,282.58,63,100,4.12,US,1702007883
15,czarne,53.6842,16.9383,271.54,96,100,3.24,PL,1702008147
16,cidreira,-30.1811,-50.2056,292.58,79,99,6.67,BR,1702008148
17,puerto natales,-51.7236,-72.4875,280.85,92,87,1.32,CL,1702007862
18,ternate,0.8,127.4,302.72,70,66,3.31,ID,1702008149
19,waitangi,-43.9535,-176.5597,286.38,68,87,8.01,NZ,1702008149
20,alo,7.4178,6.7371,297.61,76,49,1.3,NG,1702008150
21,afaahiti,-17.75,-149.2833,298.74,86,100,8.49,PF,1702008151
22,farasan,16.7022,42.1183,300.53,67,4,4.08,SA,1702008151
23,kiruna,67.8557,20.2251,264.66,86,100,5.66,SE,1702008152
24,bethel,41.3712,-73.414,274.08,84,19,1.6,US,1702007881
25,happy valley-goose bay,53.3168,-60.3315,270.32,63,100,7.72,CA,1702008022
26,tynda,55.1667,124.7167,249.35,89,100,1.27,RU,1702008153
27,san patricio,28.017,-97.5169,295.28,82,89,5.36,US,1702008153
28,tucano,-10.9631,-38.7867,295.95,88,100,3.05,BR,1702008154
29,puerto quijarro,-17.7833,-57.7667,300.48,57,29,1.38,BO,1702008155
30,qaisumah,28.3112,46.1273,285.13,58,0,0.0,SA,1702008156
31,hermanus,-34.4187,19.2345,291.24,85,8,3.26,ZA,1702007864
32,lae,-6.7221,146.9847,309.52,63,63,4.03,PG,1702008156
33,coquimbo,-29.9533,-71.3436,289.0,88,0,1.03,CL,1702008157
34,sorochinsk,52.4338,53.1583,257.22,93,9,2.2,RU,1702008157
35,bredasdorp,-34.5322,20.0403,290.31,77,0,2.77,ZA,1702008158
36,grytviken,-54.2811,-36.5092,271.77,87,50,4.73,GS,1702007961
